source_support_cluster,score,source_id,paper_title,source_file,section_or_page,object_type,object_name,short_claim_summary,verbatim_or_near_verbatim_claim,citation_pointer,version_preference_status,canonical_status,AASC_family,AASC_subfamily,kernel_role,interface_role,closure_role,gate_role,impossibility_role,construction_role,licenses,forbids,dependencies,downstream_uses
Persistence-Regime Realization,40,ERK20260527-New_erk_files_May_A396EB-DEF-005,Persistence-Regime Realization under AASC A Fixed-Domain Realization Theorem for Irreversible Standing-Bearing Continuation,New_erk_files_May_27_Persistence_Regime_Realization_under_AASC.pdf,Page 6; formal number 3.5,Definition,Persistence participation,"A fixed role-anchor class participates in persistence, written PersistPartD ([RL ]≡Role ), iff the role-anchor has standing-relevant consequences under lawful continuation: its identity, transport, quotient behavior, and failure profile affect whether continuation remains standing-bearing. Participation is not itself realization; it becomes...","Definition 3.5 (Persistence participation). A fixed role-anchor class participates in persistence, written PersistPartD ([RL ]≡Role ), iff the role-anchor has standing-relevant consequences under lawful continuation: its identity, transport, quotient behavior, and failure profile affect whether continuation remains standing-bearing. Participation is not itself realization; it becomes persistence-bearing only when those consequences are retained under irreversibility and fail-closed lineage.","New_erk_files_May_27_Persistence_Regime_Realization_under_AASC.pdf, p. 6",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping
Role-Occupancy Closure,40,ERK20260527-New_erk_files_May_DCCC53-DEF-013,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf,Page 9; formal number 3.14,Definition,Compatible role-covering assignment,"A compatible role-covering assignment is a bijection ∼ σ : RT (C, T ) −→ Residuelive T (C, T ) such that: (i) pointwise role eligibility holds: ∀r ∈ RT (C, T ), EC (σ(r), r); (ii) joint compatibility holds: JC (σ) = 1. Equivalently, it is a role assignment that covers every forced role, uses every live target-relative residue, assigns distinct residues to...","Definition 3.14 (Compatible role-covering assignment). A compatible role-covering assignment is a bijection ∼ σ : RT (C, T ) −→ Residuelive T (C, T ) such that: (i) pointwise role eligibility holds: ∀r ∈ RT (C, T ), EC (σ(r), r); (ii) joint compatibility holds: JC (σ) = 1. Equivalently, it is a role assignment that covers every forced role, uses every live target-relative residue, assigns distinct residues to distinct roles, and satisfies the full joint compatibility predicate. The set of all such assignments is denoted ΣC (T ). Bijection is part of the formal definition. If two apparent roles may lawfully share one occupant, then the target architecture has already quotiented or retyped those apparent roles before RT (C, T ) is fixed. Shared occupancy is therefore handled by target typing, not by allowing a non-injective","New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 9",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Operator / formal system layer,"operator-domain, totalization, algebraic closure, formal-completability control","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; residue/discrete constraint arcs
Role-Occupancy Closure,40,ERK20260527-New_erk_files_May_DCCC53-DEF-016,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf,Page 10; formal number 3.17,Definition,Role-Occupancy Closure,"Role-Occupancy Closure holds for (C, T ), written ROC(C, T ), iff ΣC (T )/Γlawful C,T = 1. Equivalently, there is exactly one compatible bijective role-covering assignment up to certificate-lawful automorphism of the role-incidence structure.","Definition 3.17 (Role-Occupancy Closure). Role-Occupancy Closure holds for (C, T ), written ROC(C, T ), iff ΣC (T )/Γlawful C,T = 1. Equivalently, there is exactly one compatible bijective role-covering assignment up to certificate-lawful automorphism of the role-incidence structure.","New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 10",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Role-Occupancy Closure,40,ERK20260527-New_erk_files_May_DCCC53-THM-004,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf,Page 13; formal number 7.2,Theorem,Necessity of compatible role-covering assignment,"If realization is licensed for (C, T ), then the set of compatible role-covering assignments has exactly one orbit under certificate-lawful role-incidence automorphism:","Theorem 7.2 (Necessity of compatible role-covering assignment). If realization is licensed for (C, T ), then the set of compatible role-covering assignments has exactly one orbit under certificate-lawful role-incidence automorphism:","New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 13",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Role-Occupancy Closure,40,ERK20260527-New_erk_files_May_DCCC53-THM-006,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf,Page 13; formal number 7.4,Theorem,Role-Occupancy Closure under Admissibility,"For a role-realization-complete certificate C, realization is licensed exactly when Role-Occupancy Closure holds:","Theorem 7.4 (Role-Occupancy Closure under Admissibility). For a role-realization-complete certificate C, realization is licensed exactly when Role-Occupancy Closure holds:","New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 13",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping
Role-Occupancy Closure,40,ERK20260527-New_erk_files_May_DCCC53-COR-003,Role-Occupancy Closure under Admissibility Why role-cardinality matching is only the cardinality shadow of compatible realization,New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf,Page 14; formal number 7.6,Corollary,Singleton residue as special case,"If |RT (C, T )| = 1, then realization requires exactly one compatible assignment orbit to the single role. If Residuelive T (C, T ) contains two eligible rivals for that role, closure fails even though both candidates may be individually admissible.","Corollary 7.6 (Singleton residue as special case). If |RT (C, T )| = 1, then realization requires exactly one compatible assignment orbit to the single role. If Residuelive T (C, T ) contains two eligible rivals for that role, closure fails even though both candidates may be individually admissible.","New_erk_files_May_27_Role_Occupancy_Closure_under_Admissibility.pdf, p. 14",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",,,,kernel-consistent AASC deployment; closure-controlled downstream use,"unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; residue/discrete constraint arcs
"Anchor, Tensor, and Skin",45,ERK20260527-New_erk_files_May_6DC183-COR-002,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf,Page 18; formal number 4D.1,Corollary,Composite closure,"Let E = {ei }i∈I be any finite family of admissibility-bearing descriptive elements on the fixed carrier DS . Then any joint, relational, or composite effect induced by E factors through tensor content or is inert. In particular, no finite combination of descriptive elements produces a new same-scope admissibility-bearing effect channel beyond anchor-level...","4.29. Corollary 4D.1 (Composite closure) Let E = {ei }i∈I be any finite family of admissibility-bearing descriptive elements on the fixed carrier DS . Then any joint, relational, or composite effect induced by E factors through tensor content or is inert. In particular, no finite combination of descriptive elements produces a new same-scope admissibility-bearing effect channel beyond anchor-level definedness work or tensor-level invariant-profile work. Proof. Let E induce a joint or relational effect on the fixed carrier. If that effect is admissibility-bearing, then by Theorem 4A it must appear at the definedness locus or the standing-bearing locus. If it changes definedness, it is anchor-level by Theorem 4C. Assume definedness is fixed. Then any remaining admissibility-bearing effect must alter coherent retained-trajectory structure, but the trajectory layer is tensor-determined and skin-neutral. So the composite effect either alters tensor content, in which case it is tensor-level, or leaves tensor content fixed, in which case it changes neither classifier status nor coherent retainedtrajectory structure and is inert. A purported emergent same-scope effect channel beyond","New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 18",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.",,"Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,,,kernel-consistent AASC deployment; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; closure/exhaustion/rigidity mapping; gate/validator architecture; residue/discrete constraint arcs
"Anchor, Tensor, and Skin",45,ERK20260527-New_erk_files_May_6DC183-COR-003,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf,Page 18; formal number 4C.1,Corollary,(No residual same-scope refinement beneath,"Let F be any admissibility-preserving auxiliary descriptive refinement on DS . If varying F leaves definedness fixed and leaves tensor content fixed, then F changes no same-scope standing-bearing work and is bookkeeping only. Any stated load-bearing use of such a refinement is an illicit second classifier or representative-only discriminator. Proof. If...","4.30. Corollary 4C.1 (No residual same-scope refinement beneath tensor content) Let F be any admissibility-preserving auxiliary descriptive refinement on DS . If varying F leaves definedness fixed and leaves tensor content fixed, then F changes no same-scope standing-bearing work and is bookkeeping only. Any stated load-bearing use of such a refinement is an illicit second classifier or representative-only discriminator. Proof. If definedness is fixed and tensor content is fixed, then coherent retained-trajectory structure is fixed as well: the trajectory layer is tensor-determined and skin-neutral, and any admissibility-preserving auxiliary refinement beneath tensor content collapses to tensordetermined bookkeeping. Hence the variation lands in case (3) of Theorem 4C and is skin/bookkeeping only. If one nevertheless stated additional standing-bearing authority for F, then one would either introduce a second same-scope classifier, blocked by Theorem 4B, or a representative-only discriminator beneath unchanged tensor content, blocked by quotient factorization, finality of the standing quotient, and the fixed-substrate no-refinement theorem.","New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 18",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers; residue/discrete constraint arcs
"Anchor, Tensor, and Skin",44,ERK20260527-New_erk_files_May_6DC183-THM-008,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf,Page 16; formal number 4B,Theorem,(No second same-scope classifier on the descrip-,"Let G and G′ be lawful same-scope classifiers on the fixed evaluated domain induced by a description at scope S, each stated to govern admissibility-bearing fixation, standing-bearing reuse, or any descriptive split that affects licensed continuation. Then G = G′ pointwise on that fixed domain. Accordingly, no second same-scope descriptive classifier...","4.26. Theorem 4B (No second same-scope classifier on the descrip tive carrier) Let G and G′ be lawful same-scope classifiers on the fixed evaluated domain induced by a description at scope S, each stated to govern admissibility-bearing fixation, standing-bearing reuse, or any descriptive split that affects licensed continuation. Then G = G′ pointwise on that fixed domain. Accordingly, no second same-scope descriptive classifier survives between admissibility and standing, and no auxiliary metadata layer can acquire load-bearing classifier authority without either extensional collapse to the unique gate or illicit boundary-side selector work. Proof. Assume G(x) ̸= G′ (x) for some evaluated state x on the same scope. If both verdicts are allowed to stand, then the same evaluated state is both positive and negative for the same same-scope governance role, collapsing bivalence on the evaluated fragment. If only one verdict is treated as authoritative, then a higher-order selector is required to decide which classifier governs on x. The AMetric boundary and no-selector discipline forbid such","New_erk_files_May_27_Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 16",Preferred hardened version,Preferred hardened candidate from May 27 ERK source PDF,Kernel / admissibility-standing-reference-irreversibility,"kernel primitives, standing, reference, admissibility, irreversibility","Directly constrains admissibility, standing, reference fixation, confirmation, identity preservation, non-degeneracy, or irreversibility.","Controls AASC interface formation, metric/nonmetric status, admissible interior, quotient/projection, or bookkeeping interpretation.","Provides closure, exhaustion, minimality, uniqueness, rigidity, maximality, forcing, or certificate support.",Gate/envelope/scope/modality/classification/audit-control role.,"Blocks illicit primitive, repair, surrogate, overreach, compatibility, or standing-laundering moves.",,kernel-consistent AASC deployment; interface-safe reconstruction; closure-controlled downstream use; gated admissibility evaluation,"ungated scope transport or modality laundering; primitive reification, compatibility-only promotion, or post-hoc repair; unlicensed numerical fit, parameter import, or empirical value laundering",As declared or implied in source object; dependency normalization pending.,kernel/interface synthesis; AMetric/interface/interior arcs; closure/exhaustion/rigidity mapping; gate/validator architecture; Impossibility Suite / boundary blockers
"Anchor, Tensor, and Skin",41,AASC4-P06-COR-003,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf,Page 18; formal number 4C.1,Corollary,Corollary 4C.1,"Let F be any admissibility-preserving auxiliary descriptive refinement on DS . If varying F leaves definedness fixed and leaves tensor content fixed, then F changes no same-scope standing-bearing work and is bookkeeping only. Any stated load-bearing use of…","4.30. Corollary 4C.1 (No residual same-scope refinement beneath tensor content) Let F be any admissibility-preserving auxiliary descriptive refinement on DS . If varying F leaves definedness fixed and leaves tensor content fixed, then F changes no same-scope standing-bearing work and is bookkeeping only. Any stated load-bearing use of such a refinement is an illicit second classifier or representative-only discriminator. Proof. If definedness is fixed and tensor content is fixed, then coherent retained-trajectory structure is fixed as well: the trajectory layer is tensor-determined and skin-neutral, and any admissibility-preserving auxiliary refinement beneath tensor content collapses to tensordetermined bookkeeping. Hence the variation lands in case (3) of Theorem 4C and is","Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 18",Superseded by hardened May 27 ERK version,Candidate canonical object from source PDF; Superseded older version retained for provenance,Kernel/interface/closure layer,"admissibility, bivalence, AMetric, ATS, exhaustion, interior uniqueness",Defines/enforces kernel admissibility or standing conditions,Constrains interface/quotient/transport behavior,Supports closure-by-exhaustion or uniqueness control,Gate/classifier or selector-control role,Blocks a failure/escape/reanchoring class,Controls admissible construction/description/object identity,kernel-governed construction/use; interface-safe downstream reuse; same-scope closure or uniqueness claim; typed constructional deployment,ungated selector or hidden classifier import; same-domain escape route or illicit repair; empirical-fit laundering or raw numerical import,As declared or implied in source object; dependency normalization pending.,agent/self-improvement/governance arc
"Anchor, Tensor, and Skin",41,AASC4-P06-LEM-009,"Anchor, Tensor, and Skin: A Fixed-Domain Decomposition Theorem for Admissible Description",Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf,Page 19; formal number 4A,Lemma,Non-generation of ATS structure,"The anchor / tensor / skin decomposition introduces no new admissibility-relevant structure. In particular, it defines no new invariants, operators, or admissibility criteria, but only re-expresses structure already forced by admissibility, standing,…","4.31. Lemma 4A (Non-generation of ATS structure) The anchor / tensor / skin decomposition introduces no new admissibility-relevant structure. In particular, it defines no new invariants, operators, or admissibility criteria, but only re-expresses structure already forced by admissibility, standing, redescription invariance, and fail-closed enforcement. Explanatory compression, earlier visibility of already-forced continuations, or derivational convenience does not constitute generation of new admissibilitybearing structure. Proof. Anchors correspond to preconditions of admissibility already fixed by the standing/admissibility kernel. Tensors correspond to quotient-level invariants and compatibility relations already forced by the standing-preserving identity relation. Skin corresponds to","Anchor__Tensor__and_Skin__A_Fixed_Domain_Decomposition_Theorem_for_Admissible_Description.pdf, p. 19",Superseded by hardened May 27 ERK version,Candidate canonical object from source PDF; Superseded older version retained for provenance,Kernel/interface/closure layer,"admissibility, bivalence, AMetric, ATS, exhaustion, interior uniqueness",Defines/enforces kernel admissibility or standing conditions,Constrains interface/quotient/transport behavior,Supports closure-by-exhaustion or uniqueness control,Gate/classifier or selector-control role,Blocks a failure/escape/reanchoring class,Controls admissible construction/description/object identity,kernel-governed construction/use; interface-safe downstream reuse; same-scope closure or uniqueness claim; typed constructional deployment,ungated selector or hidden classifier import; same-domain escape route or illicit repair; empirical-fit laundering or raw numerical import,As declared or implied in source object; dependency normalization pending.,agent/self-improvement/governance arc
Endpoint and Boundary Exactness,46,AASC-EX6-THM-6-1,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 8 / Theorem 6.1,Theorem,Domain-boundary exhaustion,"Every admissible endpoint, boundary, threshold, matching, residual-sector, initial-condition, operator-domain, or extension ambiguity compatible with a numerical object factors through the endpoint fiber, boundary-trace fiber, domain-extension family, opera...","Every admissible endpoint, boundary, threshold, matching, residual-sector, initial-condition, operator-domain, or extension ambiguity compatible with a numerical object factors through the endpoint fiber, boundary-trace fiber, domain-extension family, operator-domain family, matching ledger, residual-sector ledger, or domain-origin ledger modulo the appropriate skin equivalence. 8 Proof. An admissible endpoint/domain ambiguity must either change an endpoint realization, change a boundary trace, change an operator/evaluation domain, change a threshold or matching surface, change a residual-sector branch, or change the domain-origin data. These are precisely the ledgers in BD (x). If the change preserves the corresponding realization structure and terminal refinement outcome, it is skin. If it changes scope, it is a domain reset or extension-dependent branch. If it is not admissible, it is ...",EX6 Theorem 6.1,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,Exactness closure / exhaustion / stabilization object,Classification/gating boundary for exactness status,,Controls admissible numerical construction and exactness reporting,Licenses closure-sensitive downstream claims when the stated exhaustion/collapse conditions are met.,Forbids promotion beyond the certified exactness class.,"AASC kernel plus prior Exactness ARC layers: EX1, EX2, EX3, EX4, EX5.","Downstream Exactness ARC layers EX7, EX8, EX9; general AASC numerical-readiness and synthesis use."
Endpoint and Boundary Exactness,46,AASC-EX6-DEF-8-1,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 9 / Definition 8.1,Definition,Endpoint-skin,"Two endpoint branches satisfy e1 ∼Eskin e2 iff their difference preserves standing-bearing carrier identity, declared domain identity, operator/evaluation domain, admissible realization structure, boundary trace, exactness status, and terminal endpoint-refi...","Two endpoint branches satisfy e1 ∼Eskin e2 iff their difference preserves standing-bearing carrier identity, declared domain identity, operator/evaluation domain, admissible realization structure, boundary trace, exactness status, and terminal endpoint-refinement outcome.",EX6 Definition 8.1,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,,Classification/gating boundary for exactness status,,Controls admissible numerical construction and exactness reporting,Defines a reusable vocabulary/control object for downstream exactness audits.,"Forbids equivocation over the defined status, carrier, freedom, certificate, or output class.","AASC kernel plus prior Exactness ARC layers: EX1, EX2, EX3, EX4, EX5.","Downstream Exactness ARC layers EX7, EX8, EX9; general AASC numerical-readiness and synthesis use."
Endpoint and Boundary Exactness,45,AASC-EX6-THM-10-1,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 10 / Theorem 10.1,Theorem,Master endpoint non-promotion theorem,"No boundary condition, endpoint parameter, extension choice, matching surface, totalization move, solver regularity condition, analyticcontinuation route, or initial-condition analogue may promote a numerical value to raw exactness unless the corresponding...","No boundary condition, endpoint parameter, extension choice, matching surface, totalization move, solver regularity condition, analyticcontinuation route, or initial-condition analogue may promote a numerical value to raw exactness unless the corresponding branch is standing-fixed or skin-equivalent inside the declared domainboundary datum. Proof. Each listed route either supplies endpoint/domain data, changes the declared domain, or chooses among admissible endpoint branches. If the route is already standing-fixed or skin-equivalent, it contributes no unresolved endpoint freedom. Otherwise it remains an active branch in the endpoint fiber, boundary-trace fiber, matching ledger, operator-domain family, or extension family. Raw exactness is non-branching; therefore the route cannot promote the value without a domain-boundary certificate. The local non-promotion statements below are coroll ...",EX6 Theorem 10.1,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,,Classification/gating boundary for exactness status,Exclusion / nonpromotion / no-laundering constraint,Controls admissible numerical construction and exactness reporting,Licenses downstream use only within its declared exactness/standing scope.,"Forbids treating compatibility, notation, calibration, solver output, or approximate agreement as certified exactness.","AASC kernel plus prior Exactness ARC layers: EX1, EX2, EX3, EX4, EX5.","Downstream Exactness ARC layers EX7, EX8, EX9; general AASC numerical-readiness and synthesis use."
Endpoint and Boundary Exactness,45,AASC-EX6-THM-26-1,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 16 / Theorem 26.1,Theorem,Carrier-fixed domain-boundary rigidity,"Within a fixed standing-bearing carrier structure, admissible endpoint and boundary certificates compatible with the same domain-boundary datum yield the same endpoint/domain closure outcome modulo endpoint-skin and boundary-skin.","Within a fixed standing-bearing carrier structure, admissible endpoint and boundary certificates compatible with the same domain-boundary datum yield the same endpoint/domain closure outcome modulo endpoint-skin and boundary-skin. Proof. If two certificates compatible with the same carrier and datum yielded different closure outcomes, their difference would be an admissible endpoint, boundary, or extension branch. By endpointfiber and boundary-trace exhaustion, that branch factors through EndFibD (x), BTrFibD (x), or ExtFamD (x). If the branch is skin, outcomes agree modulo skin. If non-skin, endpoint/domain 16 freedom remains active. Thus competing closure outcomes are impossible without activating the ledger.",EX6 Theorem 26.1,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,Exactness closure / exhaustion / stabilization object,Classification/gating boundary for exactness status,,Controls admissible numerical construction and exactness reporting,Licenses closure-sensitive downstream claims when the stated exhaustion/collapse conditions are met.,Forbids promotion beyond the certified exactness class.,"AASC kernel plus prior Exactness ARC layers: EX1, EX2, EX3, EX4, EX5.","Downstream Exactness ARC layers EX7, EX8, EX9; general AASC numerical-readiness and synthesis use."
Endpoint and Boundary Exactness,44,AASC-EX6-THM-21-2,Endpoint and Boundary Exactness,EX6 Endpoint and Boundary Exactness/EX6__Endpoint_and_Boundary_Exactness.pdf,EX6 p. 15 / Theorem 21.2,Theorem,Zero-mode boundary theorem,"Zero-mode, residual-vacuum, or residual-sector values are raw-exact only when their boundary or residual class is fixed by standing-bearing residual structure rather than arbitrary sector selection.","Zero-mode, residual-vacuum, or residual-sector values are raw-exact only when their boundary or residual class is fixed by standing-bearing residual structure rather than arbitrary sector selection. Proof. A residual sector can be structurally admissible while still leaving multiple residual branches. If those branches alter numerical realization, raw exactness fails. If residual-sector structure collapses them to a standing-fixed class modulo residual skin, endpoint/domain freedom is discharged for that sector. 22 Gauge boundary traces",EX6 Theorem 21.2,,Canonical uploaded PDF source; object-level row may later be merged with exact duplicate/reformulation if corpus-wide duplicate found.,General AASC numerical-exactness / extraction / reportability layer,Exactness ARC,,,Exactness closure / exhaustion / stabilization object,Classification/gating boundary for exactness status,,Controls admissible numerical construction and exactness reporting,Licenses closure-sensitive downstream claims when the stated exhaustion/collapse conditions are met.,Forbids promotion beyond the certified exactness class.,"AASC kernel plus prior Exactness ARC layers: EX1, EX2, EX3, EX4, EX5.","Downstream Exactness ARC layers EX7, EX8, EX9; general AASC numerical-readiness and synthesis use."
